Orders,Total_Spend,Avg_Order_Value,Total_Items,First_Purchase,Last_Purchase,Unique_Products,Customer_Lifetime_Days,Recency_Days,Customer_Type
1,77183.6,77183.6,74215,2023-01-18 10:01:00,2023-01-18 10:01:00,1,0,325,At Risk
7,4310.0,23.68,2458,2022-12-07 14:57:00,2023-12-07 15:52:00,103,365,1,VIP
4,1797.24,57.98,2341,2022-12-16 19:09:00,2023-09-25 13:13:00,22,282,74,Regular
1,1757.55,24.08,631,2023-11-21 09:51:00,2023-11-21 09:51:00,73,0,18,Regular
1,334.4,19.67,197,2023-02-02 16:01:00,2023-02-02 16:01:00,17,0,309,At Risk
8,2506.04,29.48,536,2023-02-16 12:33:00,2023-11-03 14:37:00,59,260,35,VIP
1,89.0,22.25,20,2023-05-19 17:47:00,2023-05-19 17:47:00,4,0,203,At Risk
1,1079.4,18.61,530,2023-04-21 13:11:00,2023-04-21 13:11:00,58,0,231,At Risk
1,459.4,35.34,240,2023-05-09 13:49:00,2023-05-09 13:49:00,13,0,213,At Risk
3,2811.43,47.65,1591,2023-01-18 09:50:00,2023-11-17 08:40:00,53,302,22,High Value
1,6207.67,47.39,2708,2023-11-06 16:07:00,2023-11-06 16:07:00,131,0,32,High Value
2,1168.06,61.48,248,2023-07-12 10:04:00,2023-12-08 10:26:00,13,149,1,Regular
4,6310.03,25.76,1609,2023-01-12 12:43:00,2023-10-13 12:47:00,214,274,57,High Value
3,2662.06,20.64,1165,2023-05-23 09:43:00,2023-10-18 15:22:00,105,148,51,High Value
1,189.9,18.99,91,2023-02-25 13:51:00,2023-02-25 13:51:00,10,0,286,At Risk
10,5226.23,19.65,2229,2023-02-17 10:30:00,2023-12-06 15:40:00,201,292,2,VIP
2,552.0,24.0,408,2023-04-11 13:29:00,2023-08-22 10:18:00,23,132,109,Regular
4,1313.1,15.45,1506,2023-08-19 15:24:00,2023-12-02 10:22:00,70,104,7,Regular
2,641.38,29.15,174,2023-02-21 13:51:00,2023-02-21 14:04:00,22,0,290,At Risk
1,168.9,15.35,173,2023-12-05 16:48:00,2023-12-05 16:48:00,11,0,3,Regular
4,3541.94,21.34,2352,2022-12-14 12:58:00,2023-10-19 14:51:00,143,309,50,High Value
2,1887.96,29.97,591,2023-10-11 10:43:00,2023-10-26 10:16:00,63,14,44,Regular
3,1298.04,24.96,794,2023-02-16 12:46:00,2023-09-29 12:12:00,34,224,71,Regular
1,364.6,26.04,197,2023-02-01 13:10:00,2023-02-01 13:10:00,14,0,310,At Risk
1,742.93,22.51,342,2023-11-14 15:37:00,2023-11-14 15:37:00,33,0,24,Regular
2,457.5,26.91,178,2023-09-02 14:23:00,2023-11-29 10:36:00,14,87,10,Regular
2,1628.12,21.14,944,2022-12-20 09:37:00,2023-01-28 15:45:00,72,39,314,At Risk
1,4008.62,18.3,2529,2023-08-02 10:34:00,2023-08-02 10:34:00,219,0,129,High Value
2,852.24,21.31,407,2023-06-22 16:32:00,2023-09-19 10:09:00,39,88,81,Regular
4,2724.81,26.2,1127,2023-06-07 09:49:00,2023-11-18 11:27:00,77,164,21,High Value
5,1845.31,21.21,808,2023-08-12 09:57:00,2023-12-05 12:44:00,70,115,4,Regular
5,1850.56,18.69,1532,2022-12-22 14:28:00,2023-06-08 08:02:00,84,167,184,At Risk
2,585.27,21.68,126,2023-08-10 11:23:00,2023-11-11 08:39:00,26,92,28,Regular
2,401.9,40.19,354,2022-12-08 09:53:00,2023-01-06 12:37:00,10,29,337,At Risk
6,2780.66,27.81,1462,2023-01-17 11:12:00,2023-11-24 12:30:00,57,311,15,VIP
1,549.84,17.18,353,2023-09-21 09:33:00,2023-09-21 09:33:00,32,0,79,Regular
1,439.66,4.73,293,2023-11-18 12:07:00,2023-11-18 12:07:00,92,0,21,Regular
4,1582.6,24.73,816,2023-01-11 09:47:00,2023-09-28 15:41:00,47,260,71,Regular
2,1272.48,47.13,819,2023-05-06 14:01:00,2023-10-07 08:08:00,26,153,63,Regular
12,3018.63,19.35,2118,2022-12-03 16:35:00,2023-11-20 15:21:00,91,351,18,VIP
2,2409.9,19.13,1263,2023-07-27 14:21:00,2023-11-04 09:52:00,110,99,35,High Value
1,1635.66,19.24,1394,2023-10-25 10:27:00,2023-10-25 10:27:00,85,0,45,Regular
4,1108.65,18.79,1178,2023-03-23 09:42:00,2023-08-12 13:15:00,47,142,118,Regular
1,84.3,16.86,11,2023-02-09 13:50:00,2023-02-09 13:50:00,5,0,302,At Risk
1,225.6,20.51,94,2023-01-20 13:49:00,2023-01-20 13:49:00,11,0,322,At Risk
1,427.7,85.54,96,2023-10-21 10:51:00,2023-10-21 10:51:00,5,0,49,Regular
1,1710.39,31.67,857,2023-07-14 08:52:00,2023-07-14 08:52:00,54,0,148,Regular
2,3415.3,32.53,1818,2023-06-09 10:23:00,2023-11-17 19:22:00,92,161,21,High Value
5,1708.12,22.18,1416,2023-03-20 13:21:00,2023-10-21 10:11:00,57,214,49,Regular
5,2888.55,27.51,1409,2023-03-24 14:46:00,2023-11-07 12:27:00,81,227,32,High Value
3,11072.67,101.58,5551,2023-06-10 12:19:00,2023-09-22 10:38:00,91,103,78,High Value
2,693.33,26.67,211,2023-02-04 10:38:00,2023-02-04 10:39:00,26,0,308,At Risk
3,1226.88,20.11,829,2023-06-23 13:51:00,2023-09-26 10:16:00,43,94,74,Regular
3,758.1,19.95,286,2023-01-06 16:12:00,2023-10-04 09:00:00,29,270,66,Regular
3,562.41,31.25,300,2023-02-02 14:51:00,2023-05-06 14:51:00,16,93,216,At Risk
