StockCode,Description,Customer_Count,Total_Quantity_Sold,Total_Revenue
22423,REGENCY CAKESTAND 3 TIER,881,12374,142264.75
85123A,WHITE HANGING HEART T-LIGHT HOLDER,856,36706,100392.1
47566,PARTY BUNTING,708,15279,68785.23000000001
84879,ASSORTED COLOUR BIRD ORNAMENT,678,35263,56413.03
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,640,7010,33298.3
21212,PACK OF 72 RETROSPOT CAKE CASES,635,33670,16381.88
85099B,JUMBO BAG RED RETROSPOT,635,46078,85040.54000000001
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,613,15591,42584.130000000005
22457,NATURAL SLATE HEART CHALKBOARD ,587,8427,24089.170000000002
22138,BAKING SET 9 PIECE RETROSPOT ,581,4786,22953.1
22469,HEART OF WICKER SMALL,573,16768,28217.09
22960,JAM MAKING SET WITH JARS,573,8140,32616.22
23298,SPOTTY BUNTING,571,7633,35509.55
22961,JAM MAKING SET PRINTED,537,15039,21147.55
20725,LUNCH BAG RED RETROSPOT,532,17576,27868.8
22382,LUNCH BAG SPACEBOY DESIGN ,490,9875,15820.15
22139,RETROSPOT TEA SET CERAMIC 11 PC ,488,4239,20426.23
22470,HEART OF WICKER LARGE,485,9577,28479.650000000005
21034,REX CASH+CARRY JUMBO SHOPPER,480,1832,1740.3999999999999
20728,LUNCH BAG CARS BLUE,479,10789,17214.53
23355,HOT WATER BOTTLE KEEP CALM,474,5313,24302.55
23245,SET OF 3 REGENCY CAKE TINS,472,5844,26566.280000000002
22666,RECIPE BOX PANTRY YELLOW DESIGN,471,7366,20838.620000000003
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,470,9423,25639.77
20727,LUNCH BAG  BLACK SKULL.,458,11246,17950.3
23084,RABBIT NIGHT LIGHT,450,27153,51251.24
21790,VINTAGE SNAP CARDS,449,13329,10441.47
22384,LUNCH BAG PINK POLKADOT,444,10226,16303.3
22993,SET OF 4 PANTRY JELLY MOULDS,431,11769,14151.42
22969,HOMEMADE JAM SCENTED CANDLES,429,12080,17504.2
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,427,12305,9649.99
22111,SCOTTIE DOG HOT WATER BOTTLE,425,4248,20049.9
22699,ROSES REGENCY TEACUP AND SAUCER ,423,9119,24827.250000000004
84991,60 TEATIME FAIRY CAKE CASES,414,17664,8604.619999999999
22077,6 RIBBONS RUSTIC CHARM,413,8594,14969.84
21977,PACK OF 60 PINK PAISLEY CAKE CASES,410,24230,11611.0
82482,WOODEN PICTURE FRAME WHITE FINISH,410,8256,19945.45
23301,GARDENERS KNEELING PAD KEEP CALM ,405,7722,12463.78
22178,VICTORIAN GLASS HANGING T-LIGHT,403,22404,28735.36
23206,LUNCH BAG APPLE DESIGN,401,11530,18220.5
22383,LUNCH BAG SUKI DESIGN ,399,9570,15332.9
23201,JUMBO BAG ALPHABET,396,12533,24160.440000000002
22722,SET OF 6 SPICE TINS PANTRY DESIGN,393,5360,20482.600000000002
82494L,WOODEN FRAME ANTIQUE WHITE ,392,6268,17583.77
23344,JUMBO BAG 50'S CHRISTMAS ,391,8933,17636.04
22966,GINGERBREAD MAN COOKIE CUTTER,388,7196,8615.13
22727,ALARM CLOCK BAKELIKE RED ,388,7206,25868.95
22697,GREEN REGENCY TEACUP AND SAUCER,387,6406,17735.54
21733,RED HANGING HEART T-LIGHT HOLDER,385,7749,22595.190000000002
22112,CHOCOLATE HOT WATER BOTTLE,382,5152,23584.64
23321,SMALL WHITE HEART OF WICKER,378,4262,6798.1
23284,DOORMAT KEEP CALM AND COME IN,378,5338,35880.85
23202,JUMBO BAG VINTAGE LEAF,377,10695,20921.55
23207,LUNCH BAG ALPHABET DESIGN,377,7533,11994.41
22624,IVORY KITCHEN SCALES,376,1765,14638.73
84378,SET OF 3 HEART COOKIE CUTTERS,376,6001,7719.339999999999
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,375,10490,20116.38
22865,HAND WARMER OWL DESIGN,375,8056,16113.730000000001
20726,LUNCH BAG WOODLAND,372,9091,14497.51
22386,JUMBO BAG PINK POLKADOT,372,20148,37254.36
21485,RETROSPOT HEART HOT WATER BOTTLE,371,3326,15827.18
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,368,8111,6520.91
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,366,11661,5974.389999999999
22621,TRADITIONAL KNITTING NANCY,366,5893,9294.57
22558,CLOTHES PEGS RETROSPOT PACK 24 ,363,8405,12525.21
23203,JUMBO BAG VINTAGE DOILY ,363,10620,20641.4
21181,PLEASE ONE PERSON METAL SIGN,361,11932,23865.82
21754,HOME BUILDING BLOCK WORD,360,2633,15504.51
22907,PACK OF 20 NAPKINS PANTRY DESIGN,357,6088,4954.42
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,356,5871,16537.13
22554,PLASTERS IN TIN WOODLAND ANIMALS,351,7297,11620.93
23300,GARDENERS KNEELING PAD CUP OF TEA ,351,6285,9933.69
23322,LARGE WHITE HEART OF WICKER,350,2892,8137.500000000001
21915,RED  HARMONICA IN BOX ,349,20945,23756.43
84946,ANTIQUE SILVER T-LIGHT GLASS,348,12949,15176.42
23199,JUMBO BAG APPLES,344,13875,26426.3
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,343,9782,3415.8999999999996
22952,60 CAKE CASES VINTAGE CHRISTMAS,342,14712,7405.2
21791,VINTAGE HEADS AND TAILS CARD GAME ,342,7118,8500.16
22551,PLASTERS IN TIN SPACEBOY,339,7656,12138.6
22113,GREY HEART HOT WATER BOTTLE,337,3145,12148.9
21755,LOVE BUILDING BLOCK WORD,337,1923,11398.710000000001
22149,FELTCRAFT 6 FLOWER FRIENDS,337,5882,11549.59
21889,WOODEN BOX OF DOMINOES,336,5766,7200.95
20724,RED RETROSPOT CHARLOTTE BAG,335,12805,10122.45
22867,HAND WARMER BIRD DESIGN,333,5993,12064.630000000001
21931,JUMBO STORAGE BAG SUKI,333,11513,21784.84
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,332,9628,3164.0799999999995
POST,POSTAGE,331,3120,77803.96
21175,GIN + TONIC DIET METAL SIGN,330,11501,24944.88
20685,DOORMAT RED RETROSPOT,329,3897,25364.850000000002
22866,HAND WARMER SCOTTY DOG DESIGN,329,6097,12204.660000000002
22090,PAPER BUNTING RETROSPOT,325,6877,18785.99
84992,72 SWEETHEART FAIRY CAKE CASES,325,13029,6252.349999999999
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,325,5287,6711.0
22114,HOT WATER BOTTLE TEA AND SYMPATHY,325,3729,15386.07
23293,SET OF 12 FAIRY CAKE BAKING CASES,323,8228,6457.0
22629,SPACEBOY LUNCH BOX ,322,13908,24673.14
22726,ALARM CLOCK BAKELIKE GREEN,322,5630,20839.15
22144,CHRISTMAS CRAFT LITTLE FRIENDS,319,3459,7109.2
22698,PINK REGENCY TEACUP AND SAUCER,319,5307,14663.29
23209,LUNCH BAG VINTAGE DOILY ,319,6438,10347.66
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,318,15563,9566.51
23356,LOVE HOT WATER BOTTLE,316,2325,12954.75
22835,HOT WATER BOTTLE I AM SO POORLY,316,2939,13685.130000000001
22557,PLASTERS IN TIN VINTAGE PAISLEY ,315,4564,7331.84
85099F,JUMBO BAG STRAWBERRY,315,16771,30569.32
48187,DOORMAT NEW ENGLAND,314,3698,22783.8
48138,DOORMAT UNION FLAG,313,3614,23622.54
20972,PINK CREAM FELT CRAFT TRINKET BOX ,312,7106,8617.24
22427,ENAMEL FLOWER JUG CREAM,311,1991,11421.130000000001
84836,ZINC METAL HEART DECORATION,311,5750,7099.93
22662,LUNCH BAG DOLLY GIRL DESIGN,310,6527,10330.99
21929,JUMBO BAG PINK VINTAGE PAISLEY,308,9888,18427.9
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,307,54319,13558.409999999998
85099C,JUMBO  BAG BAROQUE BLACK WHITE,306,12771,23630.58
21914,BLUE HARMONICA IN BOX ,306,7431,9218.88
22556,PLASTERS IN TIN CIRCUS PARADE ,305,5947,9588.710000000001
23208,LUNCH BAG VINTAGE LEAF DESIGN,305,6191,9950.35
84978,HANGING HEART JAR T-LIGHT HOLDER,304,10961,12650.97
23319,BOX OF 6 MINI 50'S CRACKERS,300,3520,8169.4800000000005
22633,HAND WARMER UNION JACK,300,4730,9516.960000000001
23203,JUMBO BAG DOILEY PATTERNS,299,8735,16737.1
22367,CHILDRENS APRON SPACEBOY DESIGN,298,3537,6560.79
22617,BAKING SET SPACEBOY DESIGN,296,2153,10210.89
21232,STRAWBERRY CERAMIC TRINKET BOX,296,9318,10883.02
21213,PACK OF 72 SKULL CAKE CASES,295,14302,6855.46
22197,POPCORN HOLDER,295,30919,23417.51
22083,PAPER CHAIN KIT RETROSPOT,294,4265,11935.310000000001
22555,PLASTERS IN TIN STRONGMAN,294,5874,9444.14
22625,RED KITCHEN SCALES,292,1469,11836.23
22728,ALARM CLOCK BAKELIKE PINK,291,5066,18539.09
84375,SET OF 20 KIDS COOKIE CUTTERS,290,4139,8676.27
23209,LUNCH BAG DOILEY PATTERN ,290,6477,10323.05
85066,CREAM SWEETHEART MINI CHEST,289,1696,20448.17
22561,WOODEN SCHOOL COLOURING SET,288,5690,9064.62
22150,3 STRIPEY MICE FELTCRAFT,288,2914,5460.5
21975,PACK OF 60 DINOSAUR CAKE CASES,287,12106,5919.28
22630,DOLLY GIRL LUNCH BOX,287,11323,20104.09
22147,FELTCRAFT BUTTERFLY HEARTS,287,6123,8308.75
21166,COOK WITH WINE METAL SIGN ,287,10169,20232.13
48194,DOORMAT HEARTS,286,3268,19924.66
23343,JUMBO BAG VINTAGE CHRISTMAS ,286,4905,9742.1
82484,WOOD BLACK BOARD ANT WHITE FINISH,285,5913,34414.71
23503,PLAYING CARDS KEEP CALM & CARRY ON,284,3432,4242.96
23493,VINTAGE DOILY TRAVEL SEWING KIT,282,3516,6736.2
22553,PLASTERS IN TIN SKULLS,281,4009,6461.25
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,281,8075,22101.77
22487,WHITE WOOD GARDEN PLANT LADDER,278,723,6768.86
22766,PHOTO FRAME CORNICE,278,3176,9277.28
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,278,2839,8040.27
20971,PINK BLUE FELT CRAFT TRINKET BOX,277,10217,11619.39
22084,PAPER CHAIN KIT EMPIRE,277,4885,13411.550000000001
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,275,2210,8022.76
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,275,4658,22109.08
22189,CREAM HEART CARD HOLDER,274,8188,22687.92
84970S,HANGING HEART ZINC T-LIGHT HOLDER,271,8444,6808.49
23108,SET OF 10 LED DOLLY LIGHTS,271,2192,12972.73
22417,PACK OF 60 SPACEBOY CAKE CASES,270,8097,4128.389999999999
23318,BOX OF 6 MINI VINTAGE CRACKERS,270,3645,8345.43
85152,HAND OVER THE CHOCOLATE   SIGN ,270,8138,15484.510000000002
35970,ZINC FOLKART SLEIGH BELLS,270,4627,7631.31
23263,SET OF 3 WOODEN HEART DECORATIONS,269,3717,4791.58
23439,HAND WARMER RED LOVE HEART,268,3721,7574.1
21621,VINTAGE UNION JACK BUNTING,267,2538,20945.16
21731,RED TOADSTOOL LED NIGHT LIGHT,266,12863,19831.71
21891,TRADITIONAL WOODEN SKIPPING ROPE,264,7904,9998.32
21770,OPEN CLOSED METAL SIGN,263,1574,7296.51
22652,TRAVEL SEWING KIT,263,4859,7779.11
21985,PACK OF 12 HEARTS DESIGN TISSUES ,262,8541,2542.1699999999996
22467,GUMBALL COAT RACK,262,7652,17488.55
23200,JUMBO BAG PEARS,262,6729,13034.92
23320,GIANT 50'S CHRISTMAS CRACKER,260,2628,6907.52
21843,RED RETROSPOT CAKE STAND,260,1808,17918.8
22620,4 TRADITIONAL SPINNING TOPS,260,4486,5952.83
21136,PAINTED METAL PEARS ASSORTED,259,4454,7454.22
23198,PANTRY MAGNETIC  SHOPPING LIST,259,3063,4341.19
22142,CHRISTMAS CRAFT WHITE FAIRY ,259,3070,4334.94
22632,HAND WARMER RED RETROSPOT,258,4268,8513.52
22141,CHRISTMAS CRAFT TREE TOP ANGEL,256,2443,5015.08
23313,VINTAGE CHRISTMAS BUNTING,254,2748,12960.12
22759,SET OF 3 NOTEBOOKS IN PARCEL,253,5197,8267.25
21481,FAWN BLUE HOT WATER BOTTLE,253,2919,9196.05
22776,SWEETHEART CAKESTAND 3 TIER,252,891,8366.65
21479,WHITE SKULL HOT WATER BOTTLE ,252,2699,10215.470000000001
22595,GINGHAM HEART DECORATION,251,5951,4817.33
21524,DOORMAT SPOTTY HOME SWEET HOME,251,1657,12055.32
47591D,PINK FAIRY CAKE CHILDRENS APRON,250,3140,5815.5599999999995
22082,RIBBON REEL STRIPES DESIGN ,250,2525,4154.33
22619,SET OF 6 SOLDIER SKITTLES,250,2290,8571.25
23295,SET OF 12 MINI LOAF BAKING CASES,250,5957,4670.63
22355,CHARLOTTE BAG SUKI DESIGN,249,8947,7114.85
23173,REGENCY TEAPOT ROSES ,248,2662,23033.52
85049E,SCANDINAVIAN REDS RIBBONS,248,2741,3492.2
20712,JUMBO BAG WOODLAND ANIMALS,248,8187,15511.6
22750,FELTCRAFT PRINCESS LOLA DOLL,247,1945,7095.69
22385,JUMBO BAG SPACEBOY DESIGN,247,8231,15320.75
23311,VINTAGE CHRISTMAS STOCKING ,246,2199,5564.25
21210,SET OF 72 RETROSPOT PAPER  DOILIES,244,5677,7943.0199999999995
22568,FELTCRAFT CUSHION OWL,244,3277,11756.8
23296,SET OF 6 TEA TIME BAKING CASES,243,4877,5684.65
23351,ROLL WRAP 50'S CHRISTMAS,242,3054,3694.02
22989,SET 2 PANTRY DESIGN TEA TOWELS,241,2693,8310.17
22730,ALARM CLOCK BAKELIKE IVORY,241,2721,10259.36
82483,WOOD 2 DRAWER CABINET WHITE FINISH,241,2324,14573.720000000001
22585,PACK OF 6 BIRDY GIFT TAGS,241,6051,7135.95
22940,FELTCRAFT CHRISTMAS FAIRY,240,1881,7658.93
22191,IVORY DINER WALL CLOCK,239,1419,11527.7
20749,ASSORTED COLOUR MINI CASES,239,1717,12107.51
21498,RED RETROSPOT WRAP ,238,10522,4310.24
20719,WOODLAND CHARLOTTE BAG,238,9219,7261.94
47590B,PINK HAPPY BIRTHDAY BUNTING,238,2283,11666.35
21121,SET/10 RED POLKADOT PARTY CANDLES,238,6498,7794.18
22951,60 CAKE CASES DOLLY GIRL DESIGN,237,7211,3735.6099999999997
21172,PARTY METAL SIGN ,236,3330,4701.0199999999995
20718,RED RETROSPOT SHOPPER BAG,236,4257,5106.5599999999995
23354,6 GIFT TAGS 50'S CHRISTMAS ,235,3343,2750.9300000000003
21892,TRADITIONAL WOODEN CATCH CUP GAME ,235,2910,3651.75
20750,RED RETROSPOT MINI CASES,235,1711,12208.85
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,234,5699,5663.53
22029,SPACEBOY BIRTHDAY CARD,234,7834,3120.14
22667,RECIPE BOX RETROSPOT ,233,2851,7896.85
22748,POPPY'S PLAYHOUSE KITCHEN,233,1887,3916.9100000000003
