CustomerID,LastPurchaseDate,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score
12346,2023-01-18 10:01:00,1,77183.6,325,1,1,5,115
12347,2023-12-07 15:52:00,7,4310.0,1,5,5,5,555
12348,2023-09-25 13:13:00,4,1797.24,74,2,4,4,244
12349,2023-11-21 09:51:00,1,1757.55,18,4,1,4,414
12350,2023-02-02 16:01:00,1,334.40000000000003,309,1,1,2,112
12352,2023-11-03 14:37:00,8,2506.04,35,3,5,5,355
12353,2023-05-19 17:47:00,1,89.0,203,1,1,1,111
12354,2023-04-21 13:11:00,1,1079.4,231,1,1,4,114
12355,2023-05-09 13:49:00,1,459.40000000000003,213,1,1,2,112
12356,2023-11-17 08:40:00,3,2811.43,22,4,3,5,435
12357,2023-11-06 16:07:00,1,6207.67,32,4,1,5,415
12358,2023-12-08 10:26:00,2,1168.06,1,5,2,4,524
12359,2023-10-13 12:47:00,4,6310.03,57,3,4,5,345
12360,2023-10-18 15:22:00,3,2662.06,51,3,3,5,335
12361,2023-02-25 13:51:00,1,189.9,286,1,1,1,111
12362,2023-12-06 15:40:00,10,5226.2300000000005,2,5,5,5,555
12363,2023-08-22 10:18:00,2,552.0,109,2,2,3,223
12364,2023-12-02 10:22:00,4,1313.1,7,5,4,4,544
12365,2023-02-21 14:04:00,2,641.38,290,1,2,3,123
12367,2023-12-05 16:48:00,1,168.9,3,5,1,1,511
12370,2023-10-19 14:51:00,4,3541.94,50,3,4,5,345
12371,2023-10-26 10:16:00,2,1887.96,44,3,2,4,324
12372,2023-09-29 12:12:00,3,1298.04,71,3,3,4,334
12373,2023-02-01 13:10:00,1,364.6,310,1,1,2,112
12374,2023-11-14 15:37:00,1,742.9300000000001,24,4,1,3,413
12375,2023-11-29 10:36:00,2,457.5,10,5,2,2,522
12377,2023-01-28 15:45:00,2,1628.1200000000001,314,1,2,4,124
12378,2023-08-02 10:34:00,1,4008.62,129,2,1,5,215
12379,2023-09-19 10:09:00,2,852.24,81,2,2,3,223
12380,2023-11-18 11:27:00,4,2724.81,21,4,4,5,445
12381,2023-12-05 12:44:00,5,1845.31,4,5,4,4,544
12383,2023-06-08 08:02:00,5,1850.56,184,1,4,4,144
12384,2023-11-11 08:39:00,2,585.27,28,4,2,3,423
12386,2023-01-06 12:37:00,2,401.9,337,1,2,2,122
12388,2023-11-24 12:30:00,6,2780.6600000000003,15,4,4,5,445
12390,2023-09-21 09:33:00,1,549.84,79,2,1,3,213
12391,2023-11-18 12:07:00,1,439.66,21,4,1,2,412
12393,2023-09-28 15:41:00,4,1582.6000000000001,71,3,4,4,344
12394,2023-10-07 08:08:00,2,1272.48,63,3,2,4,324
12395,2023-11-20 15:21:00,12,3018.63,18,4,5,5,455
12397,2023-11-04 09:52:00,2,2409.9,35,3,2,5,325
12398,2023-10-25 10:27:00,1,1635.6599999999999,45,3,1,4,314
12399,2023-08-12 13:15:00,4,1108.65,118,2,4,4,244
12401,2023-02-09 13:50:00,1,84.3,302,1,1,1,111
12402,2023-01-20 13:49:00,1,225.60000000000002,322,1,1,1,111
12403,2023-10-21 10:51:00,1,427.7,49,3,1,2,312
12405,2023-07-14 08:52:00,1,1710.39,148,2,1,4,214
12406,2023-11-17 19:22:00,2,3415.3,21,4,2,5,425
12407,2023-10-21 10:11:00,5,1708.12,49,3,4,4,344
12408,2023-11-07 12:27:00,5,2888.55,32,4,4,5,445
12409,2023-09-22 10:38:00,3,11072.67,78,2,3,5,235
12410,2023-02-04 10:39:00,2,693.33,308,1,2,3,123
12412,2023-09-26 10:16:00,3,1226.88,74,2,3,4,234
12413,2023-10-04 09:00:00,3,758.1,66,3,3,3,333
12414,2023-05-06 14:51:00,3,562.4100000000001,216,1,3,3,133
12415,2023-11-15 14:22:00,21,124914.53,23,4,5,5,455
12417,2023-12-06 14:52:00,9,3649.1,2,5,5,5,555
12418,2023-08-19 11:08:00,1,668.58,112,2,1,3,213
12420,2023-10-07 08:55:00,1,600.39,63,3,1,3,313
12421,2023-11-24 09:07:00,4,807.04,15,4,4,3,443
12422,2023-09-05 09:48:00,3,803.5600000000001,95,2,3,3,233
12423,2023-12-09 10:10:00,8,1859.31,0,5,5,4,554
12424,2023-06-30 12:06:00,2,1760.96,162,2,2,4,224
12425,2023-09-22 17:31:00,1,777.2,77,2,1,3,213
12426,2023-05-29 12:26:00,1,582.73,194,1,1,3,113
12427,2023-11-18 08:56:00,3,825.8000000000001,21,4,3,3,433
12428,2023-11-14 08:22:00,9,7956.46,25,4,5,5,455
12429,2023-11-30 17:22:00,4,3750.4,8,5,4,5,545
12430,2023-10-27 15:09:00,1,256.4,42,3,1,2,312
12431,2023-11-04 11:55:00,15,6419.95,35,3,5,5,355
12432,2023-10-28 11:43:00,5,5059.32,42,3,4,5,345
12433,2023-12-09 10:02:00,7,13375.87,0,5,5,5,555
12434,2023-09-16 12:38:00,2,806.14,84,2,2,3,223
12435,2023-09-21 09:06:00,2,7829.89,79,2,2,5,225
12436,2023-09-01 12:09:00,1,509.01,99,2,1,3,213
12437,2023-12-08 11:35:00,18,4951.41,1,5,5,5,555
12438,2023-11-25 13:28:00,2,2906.85,13,4,2,5,425
12441,2022-12-08 10:45:00,1,173.55,366,1,1,1,111
12442,2023-12-06 14:22:00,1,172.06,2,5,1,1,511
12444,2023-11-18 13:23:00,5,5005.46,20,4,4,5,445
12445,2023-11-17 18:43:00,1,133.4,21,4,1,1,411
12446,2023-10-13 12:50:00,1,1002.3100000000001,57,3,1,4,314
12447,2023-04-10 13:25:00,1,476.49,242,1,1,2,112
12448,2023-10-26 13:46:00,1,449.45,43,3,1,2,312
12449,2023-11-17 13:46:00,4,4067.29,21,4,4,5,445
12450,2023-07-06 14:41:00,2,197.88,155,2,2,1,221
12451,2023-11-29 08:40:00,5,9035.52,10,5,4,5,545
12452,2023-11-23 10:28:00,2,430.57000000000005,16,4,2,2,422
12453,2023-07-28 14:08:00,1,707.09,133,2,1,3,213
12454,2023-10-14 17:13:00,1,3528.34,55,3,1,5,315
12455,2023-09-27 15:31:00,6,2466.86,72,2,4,5,245
12456,2023-10-26 14:41:00,3,3181.04,43,3,3,5,335
12457,2023-10-04 13:13:00,7,2363.23,65,3,5,5,355
12458,2023-09-29 15:25:00,2,947.4,70,3,2,4,324
12461,2023-09-06 16:57:00,2,826.88,93,2,2,3,223
12462,2023-11-21 09:11:00,2,1189.59,18,4,2,4,424
12463,2023-10-17 13:44:00,4,1344.78,52,3,4,4,344
12464,2023-11-29 13:33:00,8,1212.05,9,5,5,4,554
12465,2023-11-22 16:34:00,2,742.19,16,4,2,3,423
12468,2023-06-05 11:36:00,2,729.54,187,1,2,3,123
12471,2023-12-07 15:43:00,30,19788.65,1,5,5,5,555
12472,2023-11-07 14:01:00,7,6572.11,31,4,5,5,455
12473,2023-11-10 13:46:00,5,3928.05,28,4,4,5,445
12474,2023-11-22 14:39:00,18,7324.09,16,4,5,5,455
12475,2023-10-17 10:10:00,1,723.38,53,3,1,3,313
12476,2023-11-24 12:40:00,11,6816.42,15,4,5,5,455
12477,2023-11-17 09:51:00,6,13219.74,22,4,4,5,445
12478,2023-12-06 09:56:00,1,680.99,3,5,1,3,513
12479,2023-11-28 13:26:00,1,527.2,10,5,1,3,513
12480,2023-11-11 14:52:00,4,3281.63,27,4,4,5,445
12481,2023-11-17 08:29:00,10,5579.82,22,4,5,5,455
12483,2023-11-22 17:02:00,8,2484.98,16,4,5,5,455
12484,2023-11-07 11:37:00,6,4527.32,32,4,4,5,445
12488,2023-11-30 08:50:00,3,1298.66,9,5,3,4,534
12489,2023-01-07 13:13:00,1,334.93,335,1,1,2,112
12490,2023-12-04 16:07:00,10,5417.93,4,5,5,5,555
12491,2023-11-01 12:18:00,1,460.40000000000003,38,3,1,2,312
12492,2023-10-07 15:15:00,2,263.21000000000004,62,3,2,2,322
12493,2023-06-27 10:17:00,2,433.74,165,2,2,2,222
12494,2023-11-24 09:34:00,7,1246.1,15,4,5,4,454
12497,2023-09-19 12:29:00,1,1043.1,81,2,1,4,214
12498,2023-11-18 12:53:00,3,403.70000000000005,20,4,3,2,432
12500,2023-11-16 16:20:00,11,4257.82,22,4,5,5,455
12501,2023-01-07 12:28:00,1,2169.39,336,1,1,5,115
